,,,,,,,,,,,,,,,
320,Jordan Nwora,,F,39,12.2,5.8,2.3,0.6,0.3,0.2,1.1,42.5,88.2,,
321,Kyle Lowry,PHI,G,54,15.0,4.1,1.7,2.3,0.5,0.1,0.8,42.9,86.1,,Rest
322,Malachi Flynn,,G,38,11.1,3.9,1.3,1.4,0.4,0.1,0.6,39.6,63.2,,
323,Zach Collins,CHI,C,63,18.0,8.0,5.0,2.1,0.5,0.6,0.7,49.5,80.4,,
324,Robert Williams,POR,C,50,15.0,4.5,5.0,1.0,0.5,1.2,0.0,64.7,78.4,,Knee
325,Jarred Vanderbilt,LAL,F,65,16.0,4.4,5.3,0.8,0.8,0.4,0.0,58.5,66.7,,
326,Gui Santos,GS,F,33,7.7,4.0,2.7,0.5,0.2,0.3,0.2,55.6,74.2,,
327,Nick Richards,PHO,C,64,19.9,8.2,6.8,0.7,0.4,1.0,0.0,64.1,74.1,,
328,Devin Carter,SAC,G,69,14.0,6.3,2.6,1.7,0.8,0.2,0.8,40.1,75.4,,
329,Cody Williams,UTA,F,68,20.0,7.6,2.3,1.1,0.5,0.4,0.6,47.9,72.6,,
330,Nick Smith,LAL,G,64,15.4,6.5,1.8,0.7,0.7,0.4,1.0,41.0,79.5,,
331,Kenrich Williams,OKC,F,42,13.1,4.5,2.7,1.3,0.5,0.1,0.5,45.4,60.7,,Knee
332,Tony Bradley,IND,C,60,20.0,8.8,7.0,0.8,0.4,0.8,0.1,63.4,66.7,,
333,Cam Spencer,MEM,G,60,12.0,5.9,1.6,1.7,0.5,0.1,1.1,43.1,89.1,,
334,Carter Bryant,SAN,F,66,16.8,4.8,2.0,0.7,0.6,0.6,0.7,46.7,71.4,,
335,Dean Wade,CLE,F,60,20.0,5.5,3.1,1.1,0.6,0.2,1.0,45.5,67.6,,
336,Ish Smith,,G,40,8.6,3.2,1.1,1.9,0.4,0.2,0.2,43.5,71.4,,
337,Ousmane Dieng,OKC,F,46,12.2,4.8,2.2,1.1,0.2,0.5,0.3,45.5,70.3,,
338,Ryan Rollins,MIL,G,65,11.1,5.1,1.7,1.6,0.7,0.3,0.7,48.6,82.0,,
339,Javonte Green,DET,F,49,14.4,4.4,2.6,0.6,0.6,0.3,0.3,54.3,82.2,,
340,Luka Garza,BOS,C,65,20.1,13.0,5.2,1.2,0.5,0.3,1.1,49.8,71.0,,
341,Trendon Watford,PHI,F,60,12.1,6.0,2.8,1.1,0.4,0.4,0.4,53.3,75.9,,Hamstring
342,Chuma Okeke,,F,46,10.2,3.7,2.0,0.7,0.6,0.3,0.7,39.6,88.2,,
343,Cam Reddish,,F,54,13.7,6.7,1.4,0.6,0.6,0.2,0.9,40.3,87.8,,
344,Jordan McLaughlin,SAN,G,59,12.6,3.3,1.3,2.5,0.8,0.1,0.4,44.2,75.8,,Undisclosed
345,Clint Capela,HOU,C,64,19.4,7.5,7.6,0.9,0.4,1.0,0.0,56.9,60.2,,
346,AJ Johnson,WAS,G,60,15.4,6.2,1.5,2.2,0.4,0.1,0.8,40.8,84.4,,Leg
347,Eric Gordon,PHI,G,50,14.0,5.7,0.9,1.2,0.2,0.2,1.1,43.3,82.5,,
348,Tim Hardaway,DEN,F,72,19.9,7.5,1.8,1.2,0.4,0.1,1.5,39.9,84.9,,
349,Jaylin Williams,OKC,C,61,14.0,4.9,4.9,2.2,0.4,0.6,1.0,44.4,76.5,,
350,Shake Milton,,G,52,13.6,5.4,1.6,1.6,0.3,0.2,0.5,45.0,84.1,,
351,Patrick Baldwin,LAC,F,58,14.4,6.7,2.4,0.9,0.3,0.2,1.4,40.2,72.5,,
352,Will Riley,WAS,F,55,11.0,5.5,2.1,1.3,0.4,0.3,0.5,45.3,83.1,,
353,Julian Strawther,DEN,F,55,14.5,5.4,1.7,0.7,0.6,0.4,0.6,41.9,79.7,,
354,Landry Shamet,NY,G,55,15.1,6.3,1.3,1.1,0.3,0.1,1.4,41.4,85.1,,
355,Blake Wesley,POR,G,40,10.0,3.8,1.1,1.6,0.5,0.1,0.4,38.4,62.2,,
356,Dillon Jones,WAS,F,63,13.1,7.3,1.5,2.0,0.3,0.1,1.0,40.5,82.8,,
357,Jaylon Tyson,CLE,F,63,13.1,7.3,1.5,2.0,0.3,0.1,1.0,40.5,82.8,,
358,Mo Bamba,UTA,C,47,14.4,6.0,4.1,0.7,0.3,0.9,0.9,48.5,81.5,,
359,Ben Sheppard,IND,G,66,20.0,6.5,2.3,0.9,0.8,0.0,1.2,41.9,86.4,,Undisclosed
360,Mitchell Robinson,NY,C,50,20.0,5.3,6.4,0.4,0.8,1.0,0.0,68.1,47.5,,
361,Reggie Jackson,,G,63,13.1,7.3,1.5,2.0,0.3,0.1,1.0,40.5,82.8,,
362,Jae'Sean Tate,HOU,F,67,13.0,6.3,2.7,1.4,0.5,0.3,0.6,49.0,73.1,,
363,Cedi Osman,,F,68,15.1,7.0,1.5,1.4,0.5,0.1,1.2,44.0,68.5,,
364,E.J. Liddell,BRO,F,39,7.7,3.9,2.7,0.5,0.2,0.3,0.2,55.7,73.0,,
365,Hugo Gonzalez,BOS,F,33,6.0,3.0,1.2,0.7,0.2,0.2,0.2,46.1,84.0,,
366,Vit Krejci,ATL,G,53,14.0,4.3,1.7,1.4,0.4,0.2,0.8,46.7,83.3,,
367,Jake LaRavia,LAL,F,46,12.7,6.5,2.2,0.8,0.2,0.2,0.4,55.8,72.2,,
368,Jabari Walker,PHI,F,61,13.9,5.8,4.8,0.7,0.3,0.3,0.4,48.0,75.3,,
369,Nassir Little,,F,55,13.0,4.8,2.8,0.6,0.3,0.4,0.6,45.9,74.5,,Undisclosed
370,Isaac Okoro,CHI,F,70,17.7,6.4,1.9,1.1,0.5,0.3,0.9,48.2,73.6,,
371,Chris Duarte,,F,45,11.4,5.5,1.7,0.8,0.4,0.1,0.7,44.4,83.8,,
372,Johnny Davis,,G,58,14.4,6.1,2.7,1.0,0.6,0.3,0.6,42.2,59.7,,
373,Malaki Branham,WAS,G,40,9.0,4.3,0.9,0.9,0.2,0.1,0.6,43.7,84.2,,
374,Joe Ingles,MIN,F,58,14.0,4.5,1.6,2.0,0.3,0.1,1.1,42.2,77.8,,
375,Charles Bassey,ATL,C,23,7.3,3.0,2.7,0.3,0.2,0.7,0.0,63.8,75.0,,
376,Garrison Mathews,NY,G,40,8.8,3.5,1.0,0.3,0.3,0.1,0.8,41.1,81.1,,
377,Davis Bertans,,F,40,10.0,4.1,1.5,0.4,0.2,0.2,1.0,38.2,90.0,,
378,Dalano Banton,,G,68,14.5,5.6,2.3,1.9,0.6,0.2,0.6,40.1,77.2,,
379,Keon Johnson,,G,60,12.0,5.6,1.7,1.3,0.5,0.2,0.8,41.0,78.5,,
380,Simone Fontecchio,MIA,F,70,16.0,6.4,2.4,1.0,0.4,0.2,1.1,44.4,84.6,,
381,Brandon Boston,,F,34,7.7,3.5,1.1,0.5,0.3,0.1,0.4,38.4,80.0,,Ankle
382,Marcus Morris,,F,51,12.8,5.7,2.0,0.9,0.2,0.2,0.9,43.4,83.3,,
383,Pat Connaughton,CHR,F,60,15.0,4.2,2.4,1.5,0.5,0.1,0.8,43.5,75.9,,
384,Justin Holiday,,F,41,11.0,3.6,1.0,0.7,0.3,0.2,0.8,39.4,78.6,,
385,Tyler Smith,MIL,F,44,8.8,3.9,2.2,0.8,0.2,0.3,0.3,44.9,74.1,,
386,Torrey Craig,,F,65,15.0,4.8,2.9,0.9,0.4,0.3,0.7,45.4,75.0,,
387,P.J. Tucker,,F,50,14.5,3.8,2.8,1.1,0.4,0.1,0.5,45.9,77.3,,
388,Devonte' Graham,,G,57,12.4,4.7,1.0,1.8,0.4,0.1,0.9,37.0,84.8,,Not Injury Related
389,Cameron Payne,,G,60,10.0,5.0,1.4,2.2,0.3,0.1,0.6,41.7,85.7,,
390,Caleb Houstan,ATL,F,50,9.4,4.1,3.3,0.6,0.2,0.4,0.3,44.6,75.6,,
391,Jalen Wilson,BRO,F,70,15.0,6.6,2.3,1.3,0.3,0.1,1.0,42.7,83.2,,
392,Olivier-Maxence Prosper,MEM,F,60,15.0,5.8,1.7,0.7,0.3,0.4,0.6,44.7,79.1,,
393,Troy Brown,,F,38,9.8,2.6,1.9,0.6,0.3,0.1,0.4,41.8,77.8,,
394,Delon Wright,IND,G,60,12.0,3.0,1.8,1.6,0.8,0.2,0.4,45.3,87.1,,
395,Ben Saraf,BRO,G,65,11.2,5.6,2.1,1.4,0.4,0.3,0.5,45.6,82.6,,
396,Danilo Gallinari,,F,38,8.2,3.8,1.5,0.5,0.1,0.1,0.6,43.2,89.7,,
397,Goga Bitadze,ORL,C,59,15.0,7.2,3.6,1.1,0.4,0.9,0.5,52.0,68.4,,
398,Josh Minott,BOS,F,31,3.4,1.7,1.2,0.2,0.1,0.1,0.1,56.8,69.2,,
399,Gary Harris,MIL,G,50,14.0,3.9,1.0,0.9,0.5,0.1,0.8,44.2,81.0,,
400,Julian Champagnie,SAN,F,36,7.8,2.3,2.0,0.3,0.2,0.1,0.3,46.3,100.0,,
401,Andre Jackson,MIL,F,68,15.0,3.8,2.9,1.4,0.6,0.2,0.5,50.0,71.0,,
402,Jonas Valanciunas,DEN,C,77,16.0,8.8,6.4,1.6,0.3,0.5,0.3,55.2,82.4,,
403,JD Davison,HOU,G,55,8.9,4.6,3.1,0.6,0.2,0.4,0.3,56.1,73.3,,
404,KJ Martin,,F,55,12.5,5.5,2.5,0.8,0.3,0.3,0.4,55.3,67.2,,
405,Jett Howard,ORL,F,55,12.5,5.3,1.5,0.6,0.3,0.3,0.9,40.3,80.4,,
406,Kelly Olynyk,SAN,C,68,15.9,6.5,3.7,2.4,0.6,0.3,0.6,51.8,82.4,,Heel
407,Jeff Green,HOU,F,57,14.8,6.1,1.8,0.8,0.2,0.2,0.4,51.5,85.6,,
408,Talen Horton-Tucker,,G,60,10.0,4.6,1.3,1.7,0.4,0.2,0.6,40.8,76.0,,
409,Bismack Biyombo,SAN,C,35,13.7,5.7,4.5,0.6,0.3,0.7,0.0,59.1,53.7,,
410,Pacome Dadiet,NY,F,45,10.0,3.6,1.7,0.5,0.3,0.2,0.6,36.9,74.2,,
411,Trayce Jackson-Davis,GS,C,72,17.0,6.4,4.9,1.2,0.4,1.0,0.0,64.4,58.2,,
412,Bol Bol,,F,44,9.9,4.2,2.5,0.6,0.1,0.3,0.2,57.2,40.7,,
413,Josh Okogie,HOU,F,60,12.0,4.3,2.3,0.6,0.6,0.3,0.6,39.8,72.9,,
414,Leonard Miller,MIN,F,44,6.9,2.7,0.8,1.0,0.3,0.2,0.3,43.9,78.3,,Finger
415,Moussa Diabate,CHR,C,70,19.0,6.6,6.6,1.0,0.8,0.7,0.0,58.4,62.3,,
416,Tristan Thompson,,C,21,7.0,2.7,2.2,0.3,0.2,0.1,0.0,52.3,52.6,,
417,Liam McNeeley,CHR,F,62,9.8,4.9,1.9,1.2,0.3,0.3,0.4,45.5,83.1,,
418,Karlo Matkovic,NOR,C,65,13.8,6.1,2.9,1.2,0.6,0.8,0.4,53.4,74.6,,
419,Lamar Stevens,,F,49,12.2,4.6,2.0,0.5,0.4,0.2,0.2,48.9,70.5,,
420,Keita Bates-Diop,,F,38,7.0,2.5,1.7,0.3,0.2,0.1,0.1,52.1,76.5,,
421,Jase Richardson,ORL,G,66,10.4,5.2,2.0,1.3,0.3,0.3,0.4,45.7,82.8,,
422,Oshae Brissett,,F,51,9.1,3.7,2.1,0.4,0.3,0.3,0.5,43.3,73.5,,
423,Jeremiah Robinson-Earl,DAL,F,45,9.0,3.0,2.3,0.4,0.2,0.1,0.5,41.3,75.0,,
424,Anthony Gill,WAS,F,44,8.2,3.2,1.5,0.5,0.1,0.2,0.3,56.5,80.5,,
425,Bobi Klintman,DET,F,48,9.5,3.4,2.3,0.5,0.4,0.2,0.3,43.3,77.8,,
426,Nique Clifford,SAC,G,61,9.4,4.7,1.8,1.1,0.3,0.2,0.4,45.7,82.2,,
427,Noa Essengue,CHI,F,66,18.5,6.0,3.0,0.7,0.4,0.2,0.4,45.9,74.0,,
428,Moritz Wagner,ORL,C,60,15.0,8.7,3.6,1.4,0.3,0.2,1.1,48.5,81.8,,Knee
429,Wendell Moore,,F,40,4.5,2.3,1.6,0.3,0.1,0.2,0.1,55.6,72.7,,
430,Kai Jones,,C,23,6.6,2.3,1.2,0.4,0.1,0.2,0.1,64.7,36.8,,
431,Vlatko Cancar,,F,66,13.2,4.7,2.3,1.3,0.2,0.2,0.5,56.2,65.2,,
432,Paul Reed,DET,C,50,11.0,4.2,3.4,0.6,1.2,0.5,0.1,56.0,44.0,,
433,Alec Burks,,G,60,10.0,4.7,1.4,1.0,0.3,0.1,0.8,39.1,81.7,,
434,Drake Powell,BRO,F,68,13.2,5.1,2.1,1.2,0.4,0.1,0.6,46.7,66.7,,Knee
435,Kobe Brown,LAC,F,50,9.8,3.6,1.1,0.5,0.2,0.3,0.4,41.8,80.6,,Ankle
436,Luke Kornet,SAN,C,66,14.7,5.0,4.0,1.1,0.3,0.9,0.0,67.2,76.5,,
437,Trey Lyles,,F,60,10.0,5.1,2.5,0.6,0.2,0.2,0.5,46.6,81.1,,
438,Jalen Smith,CHI,C,64,15.0,7.4,5.0,0.4,0.3,0.7,0.7,47.7,79.2,,
439,Ja'Kobe Walter,TOR,G,68,15.0,6.1,1.7,0.8,0.5,0.1,0.8,39.9,81.1,,
440,Jock Landale,MEM,C,65,18.0,8.1,4.2,1.4,0.3,0.4,0.5,51.0,76.7,,
441,Monte Morris,,G,60,10.0,4.2,1.0,1.5,0.3,0.1,0.6,47.3,87.0,,
442,Joe Harris,,F,54,11.0,4.0,1.5,0.4,0.2,0.1,1.1,42.5,87.5,,
443,Thomas Bryant,CLE,C,36,9.7,4.1,2.7,0.5,0.1,0.4,0.3,54.4,81.3,,
444,Spencer Dinwiddie,CHR,G,65,12.0,4.6,1.2,1.8,0.3,0.1,0.6,41.1,79.7,,
445,JT Thor,,F,54,9.3,2.4,1.5,0.7,0.3,0.4,0.2,43.8,60.5,,
446,Steven Adams,HOU,C,58,15.0,4.3,5.7,1.5,0.5,0.7,0.0,58.7,41.4,,
447,Dalen Terry,CHI,F,65,12.0,4.0,1.8,1.3,0.5,0.1,0.3,43.5,70.0,,
448,Mike Muscala,,C,48,9.9,5.7,2.2,0.4,0.3,0.4,1.1,44.7,87.0,,
449,DeAndre Jordan,,C,33,7.7,2.6,3.3,0.3,0.2,0.4,0.0,65.5,56.3,,
450,MarJon Beauchamp,POR,F,65,12.8,5.4,2.4,0.8,0.2,0.2,0.4,47.1,74.6,,
451,Tyler Kolek,NY,G,63,9.2,5.2,1.1,1.4,0.2,0.1,0.7,40.6,85.0,,
452,Terry Taylor,,F,48,7.2,3.3,1.7,0.4,0.1,0.1,0.1,62.3,72.0,,
453,Hunter Tyson,DEN,F,65,11.1,3.1,1.8,1.1,0.4,0.2,0.3,46.2,72.4,,
454,Cody Zeller,,C,26,4.0,1.3,1.4,0.2,0.1,0.1,0.0,54.5,78.6,,
455,Dewayne Dedmon,,C,35,7.8,3.1,2.8,0.3,0.2,0.3,0.1,56.8,73.1,,
456,Andre Drummond,PHI,C,65,16.0,6.0,6.4,0.6,0.8,0.5,0.0,53.9,59.7,,
457,Jalen Hood-Schifino,,G,55,7.9,3.0,0.9,0.4,0.3,0.2,0.3,42.9,78.1,,
458,Omer Yurtseven,,C,37,8.8,3.7,3.7,0.6,0.2,0.2,0.0,52.6,64.3,,
459,Maxi Kleber,LAL,C,60,15.5,4.4,3.7,0.7,0.3,0.6,0.9,39.6,71.4,,Quadriceps
460,DaRon Holmes,DEN,C,60,10.0,4.5,2.9,0.7,0.4,0.8,0.3,54.6,68.1,,
461,Jordan Walsh,BOS,F,69,11.0,2.9,2.1,0.7,0.4,0.3,0.5,39.5,71.1,,
462,Alex Len,NY,C,32,6.0,2.3,1.6,0.4,0.1,0.3,0.1,52.7,65.0,,
463,Kessler Edwards,DEN,F,49,6.5,1.8,1.1,0.2,0.2,0.2,0.3,40.7,83.3,,
464,Damian Jones,,C,37,7.0,3.1,1.7,0.5,0.2,0.3,0.1,66.2,69.7,,
465,Kris Murray,POR,F,66,9.7,3.7,1.1,0.5,0.4,0.3,0.5,43.5,77.1,,
466,Sandro Mamukelashvili,TOR,C,35,6.7,2.5,1.3,0.4,0.1,0.1,0.4,50.0,76.9,,
467,Kevin Love,UTA,C,45,8.0,4.5,2.6,1.0,0.1,0.1,0.8,41.0,86.8,,
468,Joan Beringer,MIN,C,39,8.4,2.5,1.9,0.3,0.3,0.4,0.0,63.1,80.0,,
469,Thomas Sorber,OKC,C,55,10.8,4.1,3.0,1.1,0.4,0.5,0.2,52.5,73.8,,Knee
470,Larry Nance,CLE,C,60,14.0,4.3,3.3,1.4,0.6,0.3,0.3,51.0,71.7,,
471,David Roddy,TOR,F,66,8.8,4.1,1.5,0.8,0.2,0.2,0.4,48.4,65.8,,
472,Jaxson Hayes,LAL,C,64,13.8,6.5,3.1,0.4,0.3,0.5,0.2,61.4,78.2,,
473,James Wiseman,IND,C,55,11.8,6.1,4.2,0.4,0.1,0.5,0.1,54.4,73.0,,Achilles
474,Dario Saric,SAC,C,60,10.0,5.0,2.8,1.4,0.4,0.2,0.7,49.3,85.2,,
475,Jevon Carter,CHI,G,70,10.0,3.0,1.2,1.1,0.3,0.2,0.7,38.8,78.6,,
476,Mason Plumlee,CHR,C,71,15.0,4.1,4.7,1.9,0.5,0.4,0.0,65.8,42.2,,
477,Drew Eubanks,SAC,C,68,14.3,6.3,4.4,1.0,0.4,0.3,0.1,58.6,78.4,,
478,Marvin Bagley,WAS,C,52,11.6,5.7,3.4,0.4,0.2,0.2,0.3,51.9,69.8,,
479,Kevon Looney,NOR,C,76,14.0,4.1,5.4,1.4,0.4,0.4,0.0,57.8,62.4,,
480,Daniel Theis,,C,56,11.5,4.6,2.7,0.5,0.2,0.4,0.4,51.6,72.3,,
481,Precious Achiuwa,MIA,C,65,15.0,5.8,4.1,0.7,0.3,0.4,0.2,51.1,62.2,,
482,Duop Reath,POR,C,63,10.0,5.0,2.1,0.7,0.2,0.3,0.7,47.1,75.0,,
483,Chimezie Metu,,C,55,8.2,3.5,2.1,0.4,0.3,0.2,0.4,46.8,78.1,,
484,Dwight Powell,DAL,C,60,10.0,4.2,2.3,0.5,0.2,0.2,0.2,64.3,77.5,,
485,Zeke Nnaji,DEN,C,62,13.5,4.3,2.8,0.3,0.3,0.3,0.4,47.8,62.8,,
486,Jericho Sims,MIL,C,66,13.3,2.2,3.8,0.5,0.3,0.5,0.0,72.9,41.3,,