,,,,,,,,,,,,,,,,
Rank,OV Rank,Name,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Status,Injury
1,46,Cooper Flagg,DAL,F,74,32.4,16.9,6.2,4.0,1.1,0.8,1.6,45.0,83.0,,
2,146,Kon Knueppel,CHR,F,74,27.0,12.9,4.3,3.0,0.8,0.2,2.0,45.2,89.6,,
3,151,Egor Demin,BRO,G,70,27.0,11.0,4.6,4.1,0.9,0.3,1.9,39.3,72.4,,Foot
4,161,Ace Bailey,UTA,F,72,30.0,13.8,5.7,1.8,0.7,0.7,1.8,42.5,71.7,,
5,163,Dylan Harper,SAN,G,72,29.4,14.4,3.5,2.9,1.0,0.3,1.7,43.4,76.9,,Thumb
6,172,Tre Johnson,WAS,G,75,28.6,15.8,2.6,2.3,0.7,0.2,2.1,40.7,86.8,,
7,197,Collin Murray-Boyles,TOR,F,70,20.0,7.7,4.6,1.6,1.2,0.8,0.5,48.8,70.8,,
8,200,Cedric Coward,MEM,G,70,25.5,10.3,3.6,2.6,0.5,0.4,1.6,43.7,84.1,,
9,205,VJ Edgecombe,PHI,G,73,26.9,9.1,3.0,2.7,1.2,0.3,1.1,44.0,80.0,,
10,219,Jeremiah Fears,NOR,G,72,24.0,12.2,3.4,2.4,0.8,0.1,1.1,40.9,83.6,,
11,225,Walter Clayton,UTA,G,70,20.5,10.0,2.5,2.5,0.7,0.2,1.4,43.9,86.1,,
12,231,Asa Newell,ATL,F,65,17.3,8.2,4.0,0.7,0.6,1.0,0.5,51.3,75.2,,
13,234,Yang Hansen,POR,C,70,18.0,7.7,4.3,2.3,0.4,1.4,0.5,46.6,83.0,,
14,271,Ryan Kalkbrenner,CHR,C,71,20.4,8.5,5.3,0.9,0.4,1.4,0.3,59.9,69.3,,
15,280,Nolan Traore,BRO,G,58,14.3,7.1,2.7,1.7,0.5,0.4,0.6,45.6,82.9,,
16,281,Nikola Topic,OKC,G,58,13.2,6.2,2.6,1.9,0.5,0.5,0.7,43.5,72.1,,
17,292,Khaman Maluach,PHO,C,71,21.1,10.5,5.5,0.4,0.4,1.2,0.6,51.3,76.7,,
18,297,Derik Queen,NOR,C,65,23.0,8.9,6.7,1.8,0.8,0.7,0.2,48.8,76.0,,Wrist
19,298,Danny Wolf,BRO,F,68,13.4,6.5,3.1,2.5,0.3,0.4,0.5,46.3,80.0,,
20,310,Kasparas Jakucionis,MIA,G,62,14.2,7.5,2.0,2.2,0.5,0.1,0.6,45.9,85.6,,Wrist
21,334,Carter Bryant,SAN,F,66,16.8,4.8,2.0,0.7,0.6,0.6,0.7,46.7,71.4,,
22,352,Will Riley,WAS,F,55,11.0,5.5,2.1,1.3,0.4,0.3,0.5,45.3,83.1,,
23,365,Hugo Gonzalez,BOS,F,33,6.0,3.0,1.2,0.7,0.2,0.2,0.2,46.1,84.0,,
24,395,Ben Saraf,BRO,G,65,11.2,5.6,2.1,1.4,0.4,0.3,0.5,45.6,82.6,,
25,417,Liam McNeeley,CHR,F,62,9.8,4.9,1.9,1.2,0.3,0.3,0.4,45.5,83.1,,
26,421,Jase Richardson,ORL,G,66,10.4,5.2,2.0,1.3,0.3,0.3,0.4,45.7,82.8,,
27,426,Nique Clifford,SAC,G,61,9.4,4.7,1.8,1.1,0.3,0.2,0.4,45.7,82.2,,
28,427,Noa Essengue,CHI,F,66,18.5,6.0,3.0,0.7,0.4,0.2,0.4,45.9,74.0,,
29,434,Drake Powell,BRO,F,68,13.2,5.1,2.1,1.2,0.4,0.1,0.6,46.7,66.7,,Knee
30,468,Joan Beringer,MIN,C,39,8.4,2.5,1.9,0.3,0.3,0.4,0.0,63.1,80.0,,