,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Precious Achiuwa,MIA,C,65,15.00000,5.84615,4.10769,0.70769,0.32308,0.38462,0.72308,2.44615,4.78462,51.1,0.24615,0.90769,27.1,0.70769,1.13846,62.2,1.27692,2.84615
Steven Adams,HOU,C,58,15.00000,4.34483,5.65517,1.53448,0.48276,0.65517,0.86207,1.86207,3.17241,58.7,0.00000,0.00000,0.0,0.62069,1.50000,41.4,2.60345,3.05172
Bam Adebayo,MIA,C,74,34.00000,19.67568,9.41892,4.75676,1.12162,0.90541,2.37838,7.40541,15.29730,48.4,1.22973,3.40541,36.1,3.63514,4.75676,76.4,2.28378,7.13514
Ochai Agbaji,TOR,F,69,19.40580,6.94203,2.36232,1.27536,0.56522,0.50725,0.81159,2.56522,6.28986,40.8,0.79710,2.79710,28.5,1.01449,1.36232,74.5,0.71014,1.65217
Santi Aldama,MEM,F,70,29.00000,15.12857,7.25714,3.77143,0.87143,0.64286,1.28571,5.57143,11.60000,48.0,2.20000,5.80000,37.9,1.78571,2.57143,69.4,2.75714,4.50000
Nickeil Alexander-Walker,ATL,G,76,26.19737,9.63158,3.14474,2.78947,0.92105,0.52632,1.31579,3.28947,7.59211,43.3,1.82895,4.71053,38.8,1.22368,1.56579,78.2,0.61842,2.52632
Grayson Allen,PHX,G,67,26.00000,10.14925,3.19403,2.28358,0.65672,0.25373,0.61194,3.37313,7.19403,46.9,1.98507,4.59701,43.2,1.41791,1.61194,88.0,0.46269,2.73134
Jarrett Allen,CLE,C,77,28.00000,14.25974,9.87013,2.14286,0.84416,0.93506,1.27273,5.84416,8.35065,70.0,0.07792,0.27273,28.6,2.49351,3.35065,74.4,3.37662,6.49351
Jose Alvarado,NOP,G,60,18.70000,8.26667,2.05000,3.00000,1.11667,0.18333,0.93333,2.86667,6.73333,42.6,1.60000,4.11667,38.9,0.93333,1.18333,78.9,0.51667,1.55000
Kyle Anderson,UTA,F,70,20.00000,7.12857,3.75714,3.00000,0.84286,0.60000,0.95714,2.88571,5.95714,48.4,0.37143,1.10000,33.8,0.98571,1.41429,69.7,0.70000,3.05714
Giannis Antetokounmpo,MIL,F,68,34.50000,31.77941,11.54412,6.89706,1.02941,1.02941,4.30882,12.10294,21.22059,57.0,0.51471,1.89706,27.1,7.05882,11.04412,63.9,1.98529,9.54412
Cole Anthony,MIL,G,65,18.00000,9.72308,3.06154,2.58462,0.63077,0.35385,1.49231,3.50769,8.10769,43.3,1.13846,3.24615,35.1,1.56923,1.84615,85.0,0.27692,2.78462
OG Anunoby,NYK,F,67,34.89552,17.43284,4.71642,2.08955,1.64179,0.86567,1.40299,6.40299,13.26866,48.3,2.25373,5.94030,37.9,2.37313,2.97015,79.9,1.31343,3.38806
Deni Avdija,POR,F,74,32.00000,18.75676,7.51351,4.48649,1.18919,0.58108,3.04054,6.24324,13.12162,47.6,2.01351,5.44595,37.0,4.25676,5.59459,76.1,0.91892,6.59459
Deandre Ayton,LAL,C,69,32.00000,16.07246,10.63768,1.71014,0.84058,1.18841,1.69565,7.15942,11.26087,63.6,0.05797,0.28986,20.0,1.69565,2.24638,75.5,2.66667,7.97101
Marvin Bagley,WAS,C,52,11.59615,5.69231,3.42308,0.36538,0.23077,0.17308,0.40385,2.34615,4.51923,51.9,0.28846,0.98077,29.4,0.71154,1.01923,69.8,1.05769,2.36538
Ace Bailey,UTA,F,72,30.00000,13.81944,5.69444,1.80556,0.66667,0.66667,1.80556,5.09722,12.00000,42.5,1.79167,5.09722,35.1,1.83333,2.55556,71.7,1.13889,4.55556
Patrick Baldwin,LAC,F,58,14.39655,6.74138,2.39655,0.93103,0.27586,0.17241,0.87931,2.05172,5.10345,40.2,1.36207,3.82759,35.6,1.27586,1.75862,72.5,0.72414,1.67241
LaMelo Ball,CHA,G,60,33.00000,24.46667,5.11667,7.50000,1.33333,0.30000,3.63333,8.33333,20.35000,41.0,3.81667,10.66667,35.8,3.98333,4.71667,84.5,1.10000,4.01667
Lonzo Ball,CLE,G,55,23.00000,8.70909,4.32727,4.60000,1.27273,0.50909,1.50909,3.12727,8.12727,38.5,1.85455,5.05455,36.7,0.60000,0.76364,78.6,0.65455,3.67273
Mo Bamba,UTA,C,47,14.40426,6.04255,4.08511,0.68085,0.29787,0.93617,0.61702,2.36170,4.87234,48.5,0.85106,2.21277,38.5,0.46809,0.57447,81.5,1.06383,3.02128
Paolo Banchero,ORL,F,69,34.00000,25.36232,7.14493,4.75362,0.91304,0.68116,2.72464,8.69565,18.36232,47.4,1.85507,5.43478,34.1,6.11594,8.15942,75.0,2.14493,5.00000
Desmond Bane,ORL,G,69,32.40580,20.07246,4.78261,4.37681,1.07246,0.42029,2.26087,7.30435,15.75362,46.4,2.91304,7.44928,39.1,2.55072,2.91304,87.6,0.65217,4.11594
Harrison Barnes,SAS,F,81,27.00000,11.46914,3.23457,1.18519,0.55556,0.14815,0.81481,3.80247,8.20988,46.3,1.67901,4.32099,38.9,2.18519,2.64198,82.7,0.61728,2.62963
Scottie Barnes,TOR,F,71,34.50704,19.40845,7.92958,5.52113,1.38028,1.21127,2.66197,7.30986,16.01408,45.6,1.49296,4.83099,30.9,3.29577,4.28169,77.0,2.77465,5.15493
RJ Barrett,TOR,F,69,33.00000,20.17391,5.47826,4.62319,0.66667,0.31884,2.30435,7.47826,15.73913,47.5,1.75362,4.95652,35.4,3.46377,4.95652,69.9,0.88406,4.59420
Charles Bassey,ATL,C,23,7.30435,3.00000,2.69565,0.30435,0.21739,0.73913,0.34783,1.30435,2.04348,63.8,0.00000,0.17391,0.0,0.39130,0.52174,75.0,0.95652,1.73913
Nicolas Batum,LAC,F,70,16.00000,5.27143,2.78571,1.10000,0.62857,0.45714,0.44286,1.90000,4.22857,44.9,1.15714,2.95714,39.1,0.31429,0.41429,75.9,0.31429,2.45714
Bradley Beal,LAC,G,55,29.00000,15.29091,3.54545,4.34545,0.83636,0.30909,2.03636,5.69091,11.74545,48.5,1.74545,4.49091,38.9,2.16364,2.54545,85.0,0.70909,2.81818
MarJon Beauchamp,POR,F,65,12.80000,5.40000,2.40000,0.83077,0.24615,0.18462,0.78462,2.12308,4.50769,47.1,0.38462,1.09231,35.2,0.76923,1.03077,74.6,0.72308,1.67692
Joan Beringer,MIN,C,39,8.41026,2.51282,1.92308,0.25641,0.28205,0.35897,0.71795,1.05128,1.66667,63.1,0.00000,0.00000,0.0,0.41026,0.51282,80.0,0.38462,1.53846
Saddiq Bey,NOP,F,64,18.00000,8.00000,2.93750,1.54688,0.48438,0.10938,0.64063,2.68750,6.37500,42.2,1.23438,3.59375,34.3,1.39063,1.68750,82.4,0.71875,2.21875
Goga Bitadze,ORL,C,59,15.00000,7.18644,3.64407,1.13559,0.42373,0.86441,0.94915,2.69492,5.18644,52.0,0.47458,1.64407,28.9,1.32203,1.93220,68.4,1.62712,2.01695
Bismack Biyombo,SAS,C,35,13.71429,5.65714,4.51429,0.62857,0.31429,0.71429,0.68571,2.31429,3.91429,59.1,0.00000,0.00000,0.0,1.02857,1.91429,53.7,1.71429,2.82857
Anthony Black,ORL,G,75,24.00000,11.24000,2.88000,3.36000,1.20000,0.72000,1.92000,4.04000,8.88000,45.5,0.97333,2.88000,33.8,2.18667,2.88000,75.9,0.58667,2.29333
Bogdan Bogdanovic,LAC,G,65,19.30769,8.76923,2.12308,2.03077,0.70769,0.15385,0.96923,3.15385,7.33846,43.0,1.60000,4.24615,37.7,0.86154,0.96923,88.9,0.24615,1.87692
Adem Bona,PHI,C,65,19.00000,7.44615,5.32308,0.58462,0.44615,1.52308,1.13846,2.92308,4.20000,69.6,0.00000,0.01538,0.0,1.60000,2.27692,70.3,1.93846,3.38462
Devin Booker,PHX,G,68,36.50000,28.51471,4.38235,7.29412,1.01471,0.36765,2.92647,10.07353,21.42647,47.0,2.64706,7.66176,34.5,5.72059,6.57353,87.0,0.57353,3.80882
Chris Boucher,BOS,F,65,21.10769,11.53846,5.90769,0.69231,0.52308,0.63077,0.67692,4.10769,8.44615,48.6,1.46154,4.21538,34.7,1.86154,2.41538,77.1,2.13846,3.76923
Tony Bradley,IND,C,60,20.00000,8.75000,7.00000,0.80000,0.40000,0.80000,0.80000,3.93333,6.20000,63.4,0.08333,0.20000,41.7,0.80000,1.20000,66.7,1.33333,5.66667
Malaki Branham,WAS,G,40,9.00000,4.27500,0.90000,0.90000,0.17500,0.10000,0.55000,1.65000,3.77500,43.7,0.57500,1.62500,35.4,0.40000,0.47500,84.2,0.27500,0.62500
Christian Braun,DEN,G,77,33.00000,15.25974,5.11688,2.57143,0.98701,0.50649,1.15584,5.84416,10.72727,54.5,1.32468,3.29870,40.2,2.24675,2.80519,80.1,1.53247,3.58442
Mikal Bridges,NYK,F,82,35.00000,16.74390,3.14634,3.46341,1.01220,0.52439,1.53659,6.82927,13.82927,49.4,1.95122,5.42683,36.0,1.13415,1.40244,80.9,0.67073,2.47561
Miles Bridges,CHA,F,68,33.50000,19.30882,7.02941,3.35294,0.86765,0.67647,1.83824,7.11765,15.41176,46.2,2.01471,6.02941,33.4,3.05882,3.69118,82.9,1.13235,5.89706
Malcolm Brogdon,NYK,G,50,17.00000,8.56000,2.38000,2.98000,0.46000,0.20000,1.08000,3.00000,6.76000,44.4,1.06000,2.62000,40.5,1.50000,1.76000,85.2,0.42000,1.96000
Dillon Brooks,PHX,F,71,30.00000,15.00000,3.45070,2.09859,0.90141,0.26761,1.50704,5.52113,13.19718,41.8,2.00000,5.70423,35.1,1.95775,2.39437,81.8,0.98592,2.47887
Bruce Brown,DEN,G,69,19.69565,7.50725,3.14493,1.97101,0.69565,0.20290,0.78261,2.89855,6.07246,47.7,0.59420,1.73913,34.2,1.11594,1.37681,81.1,0.91304,2.23188
Charlie Brown,MEM,G,8,5.50000,0.75000,1.00000,0.12500,0.25000,0.12500,0.12500,0.25000,1.25000,20.0,0.00000,0.37500,0.0,0.25000,0.25000,100.0,0.37500,0.50000
Jaylen Brown,BOS,F,68,34.00000,25.67647,7.14706,5.10294,1.26471,0.30882,3.05882,9.63235,20.36765,47.3,2.33824,7.10294,32.9,4.07353,5.44118,74.9,0.94118,6.20588
Kendall Brown,BOS,F,21,4.90476,2.47619,1.71429,0.33333,0.09524,0.19048,0.28571,0.95238,1.71429,55.6,0.14286,0.42857,33.3,0.42857,0.61905,69.2,0.52381,1.19048
Kobe Brown,LAC,F,50,9.80000,3.64000,1.14000,0.46000,0.22000,0.26000,0.54000,1.32000,3.16000,41.8,0.42000,1.20000,35.0,0.58000,0.72000,80.6,0.24000,0.90000
Moses Brown,DEN,C,15,6.40000,3.20000,2.53333,0.00000,0.13333,0.26667,0.40000,1.20000,2.00000,60.0,0.00000,0.00000,0.0,0.80000,1.33333,60.0,0.73333,1.80000
Jalen Brunson,NYK,G,70,34.50000,25.37143,2.75714,6.90000,0.90000,0.14286,2.41429,8.64286,18.18571,47.5,2.38571,6.10000,39.1,5.70000,6.87143,83.0,0.38571,2.37143
Carter Bryant,SAS,F,66,16.80303,4.84848,2.01515,0.74242,0.56061,0.62121,0.83333,1.80303,3.86364,46.7,0.71212,2.01515,35.3,0.53030,0.74242,71.4,0.40909,1.60606
Thomas Bryant,CLE,C,36,9.69444,4.13889,2.69444,0.50000,0.13889,0.41667,0.41667,1.55556,2.86111,54.4,0.30556,0.91667,33.3,0.72222,0.88889,81.3,0.63889,2.02778
Kobe Bufkin,BKN,G,60,16.00000,7.75000,2.71667,2.23333,0.48333,0.35000,0.88333,2.76667,6.88333,40.2,0.80000,2.88333,27.7,1.41667,1.91667,73.9,0.55000,2.16667
Jared Butler,PHX,G,45,14.20000,6.35556,1.77778,2.48889,0.66667,0.31111,1.31111,2.40000,5.95556,40.3,1.11111,3.46667,32.1,0.44444,0.62222,71.4,0.20000,1.57778
Jimmy Butler,GSW,F,61,31.00000,16.91803,5.26230,5.42623,1.39344,0.31148,1.55738,5.18033,10.40984,49.8,0.73770,2.04918,36.0,5.81967,6.91803,84.1,1.60656,3.67213
Matas Buzelis,CHI,F,75,30.00000,15.06667,5.85333,2.40000,0.70667,1.56000,1.80000,5.34667,11.54667,46.3,1.94667,5.25333,37.1,2.42667,3.00000,80.9,1.22667,4.62667
Kentavious Caldwell-Pope,MEM,G,76,30.00000,10.56579,3.36842,1.86842,1.06579,0.32895,1.25000,3.56579,8.11842,43.9,1.67105,4.19737,39.8,1.76316,1.98684,88.7,0.52632,2.82895
Toumani Camara,POR,F,75,29.00000,11.17333,5.50667,2.02667,1.45333,0.61333,1.16000,4.09333,8.70667,47.0,1.69333,4.34667,39.0,1.29333,1.74667,74.0,1.93333,3.58667
Clint Capela,HOU,C,64,19.40625,7.50000,7.56250,0.87500,0.42188,0.96875,0.78125,3.26563,5.73438,56.9,0.00000,0.00000,0.0,0.96875,1.60938,60.2,2.40625,5.15625
Bub Carrington,WAS,G,79,30.00000,11.96203,5.10127,4.50633,0.83544,0.15190,1.79747,4.54430,10.73418,42.3,1.78481,5.10127,35.0,1.08861,1.31646,82.7,0.73418,4.36709
Devin Carter,SAC,G,69,14.00000,6.34783,2.63768,1.71014,0.76812,0.20290,0.69565,2.07246,5.17391,40.1,0.78261,2.37681,32.9,1.42029,1.88406,75.4,0.37681,2.24638
Jevon Carter,CHI,G,70,10.00000,2.98571,1.21429,1.05714,0.27143,0.15714,0.37143,1.08571,2.80000,38.8,0.65714,1.87143,35.1,0.15714,0.20000,78.6,0.15714,1.05714
Wendell Carter,ORL,C,61,26.29508,11.14754,7.00000,2.09836,0.50820,0.60656,1.65574,4.13115,8.29508,49.8,1.03279,3.03279,34.1,1.85246,2.60656,71.1,1.50820,5.49180
Alex Caruso,OKC,G,67,20.00000,6.56716,3.00000,3.00000,1.59701,0.59701,1.00000,2.25373,5.19403,43.4,1.37313,3.59701,38.2,0.68657,0.88060,78.0,0.67164,2.32836
Stephon Castle,SAS,G,76,29.00000,13.25000,4.64474,4.64474,1.07895,0.57895,1.90789,5.09211,12.01316,42.4,1.51316,4.93421,30.7,1.55263,1.97368,78.7,0.93421,3.71053
Julian Champagnie,SAS,F,36,7.80556,2.25000,2.00000,0.30556,0.22222,0.11111,0.22222,0.86111,1.86111,46.3,0.27778,0.77778,35.7,0.25000,0.25000,100.0,1.02778,0.97222
Max Christie,DAL,G,70,27.00000,10.35714,3.24286,2.15714,0.85714,0.48571,1.35714,3.44286,7.94286,43.3,1.54286,4.05714,38.0,1.92857,2.30000,83.9,0.97143,2.27143
Brandon Clarke,MEM,C,60,20.00000,9.46667,5.20000,1.26667,0.70000,0.80000,0.60000,4.03333,6.60000,61.1,0.11667,0.60000,19.4,1.28333,1.80000,71.3,2.05000,3.15000
Jordan Clarkson,NYK,G,69,23.79710,14.08696,2.85507,3.33333,0.71014,0.17391,1.89855,4.92754,11.66667,42.2,1.82609,5.47826,33.3,2.40580,2.89855,83.0,0.69565,2.15942
Nic Claxton,BKN,C,71,29.00000,12.90141,8.12676,2.32394,0.87324,1.74648,1.30986,5.69014,9.28169,61.3,0.11268,0.57746,19.5,1.40845,2.60563,54.1,2.43662,5.69014
Walter Clayton,UTA,G,70,20.50000,9.97143,2.45714,2.50000,0.67143,0.20000,1.42857,3.60000,8.20000,43.9,1.35714,3.68571,36.8,1.41429,1.64286,86.1,0.48571,1.97143
Nique Clifford,SAC,G,61,9.39344,4.68852,1.78689,1.14754,0.31148,0.24590,0.80328,1.65574,3.62295,45.7,0.39344,1.13115,34.8,0.98361,1.19672,82.2,0.36066,1.42623
Donovan Clingan,POR,C,70,27.70000,9.68571,9.97143,1.94286,0.65714,2.21429,1.38571,3.95714,7.05714,56.1,0.30000,0.97143,30.9,1.47143,2.44286,60.2,2.78571,7.18571
Noah Clowney,BKN,F,65,25.60000,12.07692,5.12308,1.27692,0.61538,0.84615,1.03077,4.03077,9.47692,42.5,2.24615,6.40000,35.1,1.76923,2.16923,81.6,0.83077,4.29231
Amir Coffey,MIL,F,67,19.50746,7.76119,2.44776,1.53731,0.47761,0.19403,0.56716,2.65672,5.80597,45.8,1.20896,3.16418,38.2,1.23881,1.46269,84.7,0.32836,2.13433
Isaiah Collier,UTA,G,74,28.50000,10.62162,3.70270,7.12162,1.13514,0.18919,2.85135,3.93243,8.83784,44.5,0.82432,2.85135,28.9,1.93243,2.82432,68.4,0.52703,3.17568
John Collins,LAC,F,66,29.00000,15.19697,7.54545,1.45455,0.72727,0.96970,1.74242,5.78788,10.93939,52.9,1.27273,3.54545,35.9,2.34848,2.89394,81.2,1.66667,5.87879
Zach Collins,CHI,C,63,18.00000,7.96825,5.04762,2.06349,0.46032,0.58730,1.25397,3.00000,6.06349,49.5,0.66667,1.98413,33.6,1.30159,1.61905,80.4,1.50794,3.52381
Mike Conley,MIN,G,70,22.90000,6.97143,2.05714,3.42857,0.80000,0.18571,0.91429,2.32857,5.72857,40.6,1.55714,3.90000,39.9,0.75714,0.91429,82.8,0.44286,1.61429
Pat Connaughton,CHA,F,60,15.00000,4.18333,2.41667,1.48333,0.45000,0.13333,0.31667,1.50000,3.45000,43.5,0.81667,2.33333,35.0,0.36667,0.48333,75.9,0.40000,2.01667
Bilal Coulibaly,WAS,F,65,33.00000,13.36923,5.27692,3.63077,1.32308,0.89231,1.98462,4.86154,11.21538,43.3,1.30769,3.95385,33.1,2.33846,3.26154,71.7,1.07692,4.20000
Cedric Coward,MEM,G,70,25.50000,10.27143,3.57143,2.55714,0.51429,0.41429,1.78571,3.70000,8.47143,43.7,1.58571,4.22857,37.5,1.28571,1.52857,84.1,0.71429,2.85714
Cade Cunningham,DET,G,69,34.50725,26.76812,6.20290,8.94203,1.07246,0.71014,4.14493,10.02899,20.82609,48.2,2.15942,6.00000,36.0,4.55072,5.34783,85.1,1.01449,5.18841
Seth Curry,GSW,G,43,15.09302,6.81395,1.41860,1.62791,0.37209,0.09302,0.76744,2.48837,5.27907,47.1,1.25581,3.00000,41.9,0.58140,0.67442,86.2,0.13953,1.25581
Stephen Curry,GSW,G,67,32.00000,23.94030,4.31343,5.76119,0.86567,0.32836,2.88060,7.88060,17.59701,44.8,4.35821,10.88060,40.1,3.82090,4.16418,91.8,0.43284,3.88060
Tristan da Silva,ORL,F,74,18.00000,7.10811,2.87838,1.44595,0.37838,0.27027,0.71622,2.50000,5.75676,43.4,1.04054,2.87838,36.2,1.06757,1.25676,84.9,0.41892,2.45946
Pacome Dadiet,NYK,F,45,10.00000,3.60000,1.71111,0.51111,0.31111,0.20000,0.40000,1.22222,3.31111,36.9,0.64444,2.00000,32.2,0.51111,0.68889,74.2,0.24444,1.44444
Dyson Daniels,ATL,G,70,33.00000,14.62857,5.94286,4.45714,2.80000,0.75714,1.98571,6.05714,12.21429,49.6,1.15714,3.30000,35.1,1.35714,2.14286,63.3,1.78571,4.15714
Anthony Davis,DAL,C,65,33.50769,24.12308,11.06154,4.35385,1.13846,2.24615,2.50769,9.21538,18.43077,50.0,0.92308,3.35385,27.5,4.76923,6.03077,79.1,2.96923,8.07692
Terence Davis,SAC,G,12,8.50000,5.08333,1.50000,0.66667,0.41667,0.16667,0.50000,1.83333,4.25000,43.1,0.83333,2.33333,35.7,0.58333,0.66667,87.5,0.16667,1.33333
JD Davison,HOU,G,55,8.90909,4.60000,3.09091,0.58182,0.18182,0.36364,0.54545,1.76364,3.14545,56.1,0.27273,0.76364,35.7,0.80000,1.09091,73.3,0.92727,2.16364
Egor Demin,BKN,G,70,27.00000,11.04286,4.58571,4.05714,0.94286,0.32857,2.30000,4.20000,10.68571,39.3,1.85714,6.21429,29.9,0.78571,1.08571,72.4,0.91429,3.67143
DeMar DeRozan,SAC,F,73,34.00000,20.26027,3.73973,4.08219,0.78082,0.30137,1.35616,7.42466,15.64384,47.5,1.01370,3.05479,33.2,4.39726,5.09589,86.3,0.53425,3.20548
Moussa Diabate,CHA,C,70,19.00000,6.61429,6.60000,0.95714,0.75714,0.67143,0.95714,2.64286,4.52857,58.4,0.02857,0.15714,18.2,1.30000,2.08571,62.3,1.98571,4.62857
Gradey Dick,TOR,F,65,28.00000,14.58462,3.35385,1.95385,1.06154,0.24615,1.40000,4.83077,11.47692,42.1,2.27692,6.15385,37.0,2.64615,3.07692,86.0,0.29231,3.06154
Ousmane Dieng,OKC,F,46,12.19565,4.80435,2.19565,1.13043,0.23913,0.50000,0.76087,1.95652,4.30435,45.5,0.32609,1.04348,31.3,0.56522,0.80435,70.3,0.65217,1.54348
Rob Dillingham,MIN,G,65,14.90769,7.32308,1.49231,2.98462,0.60000,0.07692,1.35385,2.87692,6.41538,44.8,0.90769,2.38462,38.1,0.66154,0.81538,81.1,0.21538,1.27692
Spencer Dinwiddie,CHA,G,65,12.00000,4.56923,1.20000,1.80000,0.26154,0.07692,0.63077,1.55385,3.78462,41.1,0.61538,1.80000,34.2,0.84615,1.06154,79.7,0.20000,1.00000
Donte DiVincenzo,MIN,G,69,27.00000,12.26087,3.78261,3.78261,1.21739,0.27536,1.62319,4.23188,9.95652,42.5,2.86957,7.28986,39.4,0.92754,1.18841,78.0,0.88406,2.88406
Luka Doncic,LAL,G,68,34.50000,29.01471,7.94118,7.82353,1.55882,0.33824,3.45588,9.45588,20.17647,46.9,3.45588,9.48529,36.4,6.64706,8.63235,77.0,0.75000,7.19118
Luguentz Dort,OKC,F,71,28.50704,10.07042,4.09859,1.70423,1.14085,0.53521,0.85915,3.56338,8.26761,43.1,2.28169,5.70423,40.0,0.66197,0.85915,77.0,0.73239,3.36620
Ayo Dosunmu,CHI,G,70,27.40000,12.40000,3.01429,3.88571,0.82857,0.44286,1.40000,4.84286,9.75714,49.6,1.38571,3.72857,37.2,1.32857,1.64286,80.9,0.38571,2.62857
Andre Drummond,PHI,C,65,16.00000,5.95385,6.40000,0.64615,0.80000,0.47692,1.20000,2.43077,4.50769,53.9,0.00000,0.03077,0.0,1.09231,1.83077,59.7,2.15385,4.24615
